taxon_name,firstapp_max_ma,lastapp_min_ma
Pellegrinisaurus powelli,83.5,70.6
Kaijutitan maui,89.3,85.8
Arackar licanantay,83.6,66
Laplatasaurus araukanicus,83.5,70.6
Narambuenatitan palomoi,83.5,70.6
Aegyptosaurus baharijensis,145,93.5
Maojandino alami,70.6,66
Marisaurus jeffi,70.6,66
Balochisaurus malkani,70.6,66
Petrobrasaurus puestohernandezi,89.3,83.5
Baotianmansaurus henanensis,93.5,70.6
Karongasaurus gittelmani,125,113
Titanosaurus blanfordi,72.1,66
Liubangosaurus hei,125,113
Wintonotitan wattsi,100.5,89.3
Australodocus bohetii,152.1,145
Europatitan eastwoodi,130,122.46
Austrosaurus mckillopi,105.3,99.6
Vouivria damparisensis,161.2,155.7
Abydosaurus mcintoshi,99.6,93.5
Soriatitan golmayensis,136.4,125.45
Sonorasaurus thompsoni,105.3,93.5
Brachiosaurus altithorax,157.3,145
Giraffatitan brancai,163.5,145
Brachiosaurus (Giraffatitan) brancai,,
Cedarosaurus weiskopfae,139.8,109
Lusotitan atalaiensis,155.7,145
Galvesaurus herreroi,155.7,145
Venenosaurus dicrocei,125,113
Fushanosaurus qitaiensis,163.5,157.3
Iuticosaurus lydekkeri,,
Ornithopsis hulkei,136.4,122.46
Liaoningotitan sinensis,130,122.46
Duriatitan humerocristatus,157.3,139.8
Pelorosaurus conybeari,140.2,130
Pelorosaurus praecursor,,
Oceanotitan dantasi,155.7,150.8
Fukuititan nipponensis,125,113
Dashanpusaurus dongi,170.3,157.3
Daanosaurus zhangi,157.3,145
Aragosaurus ischiaticus,157.3,145
Atlasaurus imelakei,168.3,166.1
Lourinhasaurus alenquerensis,155.7,145
Camarasaurus lentus,157.3,145
Morosaurus marchei,155.7,150.8
Camarasaurus lewisi,157.3,152.1
Camarasaurus supremus,157.3,145
Camarasaurus grandis,157.3,145
Europasaurus holgeri,155.7,150.8
Tehuelchesaurus benitezii,161.2,145
Yuzhoulong qurenensis,168.3,163.5
Archaeodontosaurus descouensi,168.3,166.1
Haplocanthosaurus priscus,155.7,145
Haplocanthosaurus delfsi,155.7,145
Brontosaurus parvus,157.3,145
Brontosaurus excelsus,157.3,145
Brontosaurus yahnahpin,157.3,145
Apatosaurus louisae,157.3,145
Apatosaurus ajax,157.3,145
Leinkupal laticauda,145,132.9
Tornieria africana,155.7,145
Diplodocus hallorum,157.3,145
Diplodocus carnegii,157.3,145
Diplodocus longus,157.3,145
Galeamopus pabsti,157.3,145
Galeamopus hayi,157.3,145
Dinheirosaurus lourinhanensis,155.7,150.8
Supersaurus vivianae,157.3,145
Barosaurus lentus,157.3,145
Suuwassea emilieae,155.7,150.8
Bajadasaurus pronuspinax,145,132.9
Kaatedocus siberi,157.3,152.1
Amargatitanis macni,129.4,125
Pilmatueia faundezi,139.8,132.9
Dyslocosaurus polyonychius,157.3,145
Amargasaurus cazaui,129.4,125
Brachytrachelopan mesai,157.3,145
Dicraeosaurus sattleri,155.7,145
Dicraeosaurus hansemanni,163.5,145
Lingwulong shenqi,180.1,168.3
Smitanosaurus agilis,155.7,145
Limaysaurus tessonei,100.5,89.8
Cathartesaura anaerobica,99.6,89.8
Nopcsaspondylus alarconensis,99.6,93.5
Tataouinea hannibalis,113,100.5
Rebbachisaurus garasbae,105.3,93.5
Nigersaurus taqueti,125,100.5
Itapeuasaurus cajapioensis,100.5,93.9
Demandasaurus darwini,130,122.46
Lavocatisaurus agrioensis,125,109
Maraapunisaurus fragillimus,152.1,145
Histriasaurus boscarollii,136.4,125.45
Amazonsaurus maranhensis,122.46,105.3
Katepensaurus goicoecheai,99.6,89.8
Comahuesaurus windhauseni,122.46,109
Xenoposeidon proneneukos,145,136.4
Zapalasaurus bonapartei,130,122.46
Rayososaurus agrioensis,99.6,93.5
Agustinia ligabuei,113,100.5
Amphicoelias altus,150.8,145
Amphicoelias brontodiplodocus,161.2,150.8
Rhoetosaurus brownei,161.2,155.7
Bellusaurus sui,163.5,157.3
Lapparentosaurus madagascariensis,167.7,164.7
Oplosaurus armatus,139.8,125
Chinshakiangosaurus chunghoensis,201.3,199.3
Lamplughsaura dharmaramensis,201.3,190.8
Sanpasaurus yaoi,182.7,174.1
Oshanosaurus youngi,,
Kotasaurus yamanpalliensis,199.3,182.7
Isanosaurus attavipachi,190.8,174.1
Damalasaurus magnus,201.3,174.1
Pulanesaura eocollum,201.3,190.8
Vulcanodon karibaensis,199.3,182.7
Gongxianosaurus shibeiensis,182.7,174.1
Jingshanosaurus xinwaensis,201.3,199.3
Anchisaurus polyzelus,201.3,190.8
Riojasaurus incertus,228,208.5
Eucnemesaurus fortis,228,201.3
Eucnemesaurus entaxonis,228,201.3
Ngwevu intloko,201.3,190.8
Pradhania gracilis,201.3,190.8
Adeopapposaurus mognai,201.3,174.1
Sarahsaurus aurifontanalis,199.3,182.7
Glacialisaurus hammeri,199.3,182.7
Lufengosaurus magnus,201.3,168.3
Lufengosaurus huenei,201.3,190.8
Lufengosaurus changduensis,201.3,174.1
Massospondylus kaalae,201.3,190.8
Massospondylus hislopi,,
Massospondylus carinatus,201.3,174.1
Coloradisaurus brevis,228,208.5
Ignavusaurus rachelis,201.3,190.8
Leyesaurus marayensis,201.3,174.1
Mbiresaurus raathi,237,228
Efraasia minor,228,208.5
Gresslyosaurus plieningeri,228,208.5
Gresslyosaurus ingens,212,205.6
Actiosaurus gaudryi,208.5,201.3
Gyposaurus sinensis,201.3,174.1
Yimenosaurus youngi,201.3,199.3
Bagualosaurus agudoensis,237,208.5
Buriolestes schultzi,237,228
Kholumolumo ellenbergerorum,228,201.3
Macrocollum itaquii,228,208.5
Jaklapallisaurus asymmetrica,228,201.3
Nambalia roychowdhurii,228,208.5
Thecodontosaurus minimus,201.3,190.8
Thecodontosaurus antiquus,208.5,201.3
Arcusaurus pereirabdalorum,201.3,190.8
Pantydraco caducus,208.5,201.3
Unaysaurus tolentinoi,228,208.5
Xixiposaurus suni,201.3,190.8
Plateosaurus ingens,,
Plateosaurus elizae,208.5,201.3
Plateosaurus erlenbergiensis,228,201.3
Plateosaurus engelhardti,228,208.5
Plateosaurus gracilis,228,208.5
Plateosauravus cullingworthi,228,201.3
Issi saaneq,228,208.5
Ruehleia bedheimensis,228,208.5
Saturnalia tupiniquim,237,208.5
Chromogisaurus novasi,237,228
Panphagia protos,237,228
Pampadromaeus barberenai,237,208.5
Erythrovenator jacuiensis,237,228
Eodromaeus murphi,237,228
Jialingpus yuechiensis,163.5,145
Himeoolithus murakamii,112.03,109
Yaverlandia bitholus,136.4,125.45
Salfitichnus mentoor,70.6,66
Fenestrosaurus philoceratops,83.5,70.6
Sinosaurus triassicus,201.3,190.8
Protoavis texensis,228,208.5
Subtiliolithus hyogoensis,112.03,109
Staurikosaurus pricei,237,208.5
Sanjuansaurus gordilloi,237,228
Gnathovorax cabreirai,232,221.5
Caseosaurus crosbyensis,237,208.5
Herrerasaurus ischigualastensis,237,228
Ornithoides oshiensis,83.5,70.6
Dilophosaurus sinensis,201.3,190.8
Dilophosaurus wetherilli,201.3,182.7
Chindesaurus bryansmalli,228,208.5
Shuangbaisaurus anlongbaoensis,201.3,199.3
Tachiraptor admirabilis,201.3,199.3
Dracoraptor hanigani,201.3,199.3
Syntarsus kayentakatae,201.3,182.7
Lophostropheus airelensis,208.5,199.3
Lucianovenator bonoi,228,208.5
Lepidus praecisio,237,201.3
Segisaurus halli,190.8,174.1
Camposaurus arizonensis,228,208.5
Podokesaurus holyokensis,201.3,190.8
Coelophysis bauri,228,201.3
Powellvenator podocitus,228,208.5
Panguraptor lufengensis,201.3,199.3
Megapnosaurus rhodesiensis,237,190.8
Procompsognathus triassicus,215.56,212
Pendraig milnerae,208.5,201.3
Gojirasaurus quayi,228,208.5
Sarcosaurus woodi,201.3,189.6
Dracovenator regenti,201.3,190.8
Velocipes guerichi,228,208.5
Zupaysaurus rougieri,228,208.5
Liliensternus liliensterni,228,208.5
Saltriovenator zanellai,196.5,189.6
Ceratosaurus nasicornis,157.3,145
Genyodectes serus,113,100.5
Vitakrisaurus saraiki,70.6,66
Vitakridrinda sulaimani,70.6,66
Ligabueino andesi,129.4,122.46
Laevisuchus indicus,72.1,66
Austrocheirus isasii,83.6,66
Huinculsaurus montesi,99.6,89.8
Deltadromeus agilis,99.6,93.5
Elaphrosaurus bambergi,155.7,150.8
Limusaurus inextricabilis,163.5,157.3
Berthasaura leopoldinae,93.9,72.1
Masiakasaurus knopfleri,72.1,66
Noasaurus leali,70.6,66
Velocisaurus unicus,86.3,83.6
Vespersaurus paranaensis,100.5,66
Eoabelisaurus mefi,174.1,168.4
Indosuchus raptorius,72.1,66
Kryptops palaios,125,100.5
Lametasaurus indicus,72.1,66
Kurupi itaata,70.6,66
Spectrovenator ragei,125,113
Xenotarsosaurus bonapartei,99.6,89.3
Tralkasaurus cuyi,99.6,89.3
Indosaurus matleyi,72.1,66
Majungasaurus crenatissimus,72.1,66
Arcovenator escotae,83.5,70.6
Rajasaurus narmadensis,72.1,66
Genusaurus sisteronis,109,105.3
Dahalokely tokana,93.9,89.8
Llukalkan aliocranianus,86.3,83.6
Quilmesaurus curriei,83.5,66
Viavenator exxoni,86.3,83.6
Pycnonemosaurus nevesi,100.5,66
Abelisaurus comahuensis,83.5,70.6
Aucasaurus garridoi,83.5,70.6
Niebla antiqua,83.5,66
Carnotaurus sastrei,72.1,66
Guemesia ochoai,83.5,66
Thanos simonattoi,86.3,72.1
Skorpiovenator bustingorryi,99.6,89.8
Ilokelesia aguadagrandensis,99.6,89.8
Rahiolisaurus gujaratensis,72.1,66
Ekrixinatosaurus novasi,99.6,93.5
Tarascosaurus salluvicus,83.5,70.6
Rugops primus,99.6,93.5
Fosterovenator churei,157.3,145
Chenanisaurus barbaricus,70.6,66
Spinostropheus gautieri,163.5,93.5
Berberosaurus liassicus,190.8,174.1
Bahariasaurus ingens,112.03,66
Shanyangosaurus niupanggouensis,72.1,66
Gualicho shinyae,99.6,89.3
Shidaisaurus jinae,170.3,168.3
Yangchuanosaurus shangyouensis,168.3,163.5
Yangchuanosaurus zigongensis,170.3,157.3
Metriacanthosaurus parkeri,161.2,155.7
Siamotyrannus isanensis,130,125.45
Sinraptor hepingensis,168.3,163.5
Sinraptor dongi,163.5,157.3
Erectopus superbus,130,100.5
Erectopus sauvagei,99.6,93.5
Chilantaisaurus tashuikouensis,93.9,89.8
Chilantaisaurus zheziangensis,86.3,83.6
Rapator ornitholestoides,99.6,93.5
Fukuiraptor kitadaniensis,136.4,113
Neovenator salerii,130,125.45
Siamraptor suwati,125,113
Ulughbegsaurus uzbekistanensis,93.5,89.3
Lusovenator santosi,155.7,145
Datanglong guangxiensis,125,113
Acrocanthosaurus atokensis,125,93.5
Saurophaganax maximus,155.7,145
Labrosaurus sulcatus,,
Allosaurus lucasi,152.1,145
Allosaurus jimmadseni,161.2,145
Allosaurus europaeus,155.7,145
Allosaurus fragilis,157.3,145
Monolophosaurus jiangi,166.1,163.5
Asfaltovenator vialidadi,180.1,168.4
Shaochilong maortuensis,93.9,89.8
Mapusaurus roseae,99.6,89.8
Carcharodontosaurus saharicus,145,93.5
Carcharodontosaurus iguidensis,99.6,93.5
Taurovenator violantei,99.6,89.3
Unquillosaurus ceibalii,83.6,72.1
Eocarcharia dinops,125,100.5
Kelmayisaurus petrolicus,122.46,100.5
Tyrannotitan chubutensis,113,100.5
Meraxes gigas,99.6,89.8
Veterupristisaurus milneri,155.7,150.8
Concavenator corcovatus,130,125.45
Giganotosaurus carolinii,99.6,89.8
Lajasvenator ascheriae,139.8,132.9
Becklespinax altispinax,145,132.9
Kaijiangosaurus lini,170.3,168.3
Sciurumimus albersdoerferi,155.7,150.8
Streptospondylus altdorfensis,164.7,155.7
Condorraptor currumili,180.1,168.4
Piatnitzkysaurus floresi,182,175.6
Marshosaurus bicentesimus,157.3,145
Xuanhanosaurus qilixiaensis,170.3,168.3
Irritator challengeri,122.46,112.03
Ichthyovenator laosensis,125,113
Spinosaurus aegyptiacus,122.46,93.5
Angaturama limai,122.46,112.03
Camarillasaurus cirugedae,130,125.45
Vallibonavenatrix cani,130,125.45
Suchomimus tenerensis,125,100.5
Riparovenator milnerae,129.4,125
Ceratosuchops inferodios,129.4,125
Baryonyx walkeri,145,125.45
Iberospinus natarioi,130,125.45
Eustreptospondylus oxoniensis,164.7,161.2
Magnosaurus nethercombensis,171.6,168.4
Dubreuillosaurus valesdunensis,167.7,164.7
Piveteausaurus divesensis,164.7,161.2
Afrovenator abakensis,163.5,145
Poecilopleuron minor,,
Poekilopleuron bucklandii,167.7,164.7
Leshansaurus qianweiensis,168.3,163.5
Wiehenvenator albati,164.7,161.2
Megalosaurus dapukaensis,174.1,163.5
Megalosaurus tibetensis,201.3,174.1
Megalosaurus bucklandii,170.3,122.46
Torvosaurus gurneyi,155.7,145
Torvosaurus tanneri,157.3,145
Duriavenator hesperis,171.6,167.7
Gasosaurus constructus,170.3,157.3
Chuandongocoelurus primitivus,170.3,157.3
Yunyangosaurus puanensis,182.7,170.3
Cryolophosaurus ellioti,199.3,182.7
Kayentavenator elysiae,199.3,182.7
Cruxicheiros newmanorum,167.7,164.7
Juravenator starki,155.7,150.8
Xiyunykus pengi,129.4,113
Shishugounykus inexpectus,163.5,157.3
Haplocheirus sollers,163.5,157.3
Bannykus wulatensis,125,113
Zuolong salleei,163.5,157.3
Aorun zhaoi,166.1,163.5
Coelurus fragilis,157.3,145
Tanycolagreus topwilsoni,157.3,145
Bagaraatan ostromi,72.1,66
Juratyrant langhami,150.8,145
Aoniraptor libertatem,99.6,89.3
Siats meekerorum,99.6,93.5
Phuwiangvenator yaemniyomi,130,125.45
Murusraptor barrosaensis,89.8,86.3
Maip macrothorax,83.5,66
Tratayenia rosalesi,86.3,83.6
Megaraptor namunhuaiquii,93.5,85.8
Aerosteon riocoloradensis,83.5,70.6
Australovenator wintonensis,122.46,89.3
Orkoraptor burkei,83.6,66
Vayuraptor nongbualamphuensis,130,125.45
Labocania anomala,86.3,70.6
Stokesosaurus clevelandi,157.3,145
Timimus hermani,112.03,109
Raptorex kriegsteini,129.4,66
Timurlengia euotica,93.5,89.3
Alectrosaurus olseni,100.5,70.6
Teihivenator macropus,72.1,66
Appalachiosaurus montgomeriensis,83.5,66
Aviatyrannis jurassica,157.3,152.1
Dryptosaurus aquilunguis,83.5,66
Albertosaurus sarcophagus,83.6,66
Alioramus altai,72.1,66
Alioramus remotus,72.1,66
Alioramus sinensis,72.1,66
Thanatotheristes degrootorum,83.5,70.6
Daspletosaurus horneri,83.6,70.6
Daspletosaurus torosus,83.6,70.6
Nanuqsaurus hoglundi,70.6,66
Teratophoneus curriei,83.5,70.6
Tyrannosaurus rex,83.5,66
Zhuchengtyrannus magnus,83.6,72.1
Dynamoterror dynastes,83.5,70.6
Nanotyrannus lancensis,72.1,66
Lythronax argestes,83.5,70.6
Gorgosaurus libratus,83.6,70.6
Yezosaurus mikasaensis,85.8,83.5
Tarbosaurus bataar,89.8,66
Moros intrepidus,99.6,93.5
Suskityrannus hazelae,93.5,89.3
Eotyrannus lengi,136.4,125.45
Jinbeisaurus wangi,100.5,72.1
Bistahieversor sealeyi,83.5,70.6
Dilong paradoxus,130,122.46
Proceratosaurus bradleyi,167.7,164.7
Yutyrannus huali,129.4,113
Sinotyrannus kazuoensis,125,113
Kileskus aristotocus,168.3,166.1
Guanlong wucaii,163.5,157.3
Calamosaurus foxi,,
Xiongguanlong baimoensis,125,113
Santanaraptor placidus,122.46,112.03
Brasileosaurus pachecoi,83.5,66
Nedcolbertia justinhoffmanni,139.8,132.9
Sinosauropteryx prima,130,122.46
Xinjiangovenator parvus,122.46,100.5
Trisauropodiscus superavipes,201.3,190.8
Lourinhanosaurus antunesi,155.7,145
Aratasaurus museunacionali,112.03,109
Patagonykus puertai,93.5,85.8
Bonapartenykus ultimus,83.5,66
Alvarezsaurus calvoi,86.3,83.6
Elopteryx nopcsai,70.6,66
Qiupanykus zhangi,70.6,66
Trierarchuncus prairiensis,70.6,66
Achillesaurus manazzonei,86.3,83.6
Ceratonykus oculatus,83.5,70.6
Albinykus baatar,86.3,72.1
Xixianykus zhangi,89.3,83.6
Linhenykus monodactylus,83.6,72.1
Ondogurvel alifanovi,83.5,70.6
Khulsanurus magnificus,83.5,70.6
Shuvuuia deserti,83.6,70.6
Parvicursor remotus,83.5,70.6
Albertonykus borealis,70.6,66
Mononykus olecranus,72.1,66
Nemegtonykus citus,72.1,66
Alnashetri cerropoliciensis,99.6,93.5
Kol ghuva,83.6,72.1
Protarchaeopteryx robusta,130,122.46
Gobiraptor minutus,72.1,66
Nankangia jiangxiensis,72.1,66
Oviraptor philoceratops,83.5,70.6
Conchoraptor gracilis,83.5,70.6
Shixinggia oblita,72.1,66
Khaan mckennai,83.6,72.1
Banji long,72.1,66
Nemegtomaia barsboldi,83.5,66
Machairasaurus leptonychus,83.6,72.1
Ganzhousaurus nankangensis,72.1,66
Oksoko avarsan,72.1,66
Heyuannia huangi,72.1,66
Heyuannia yanshini,83.5,70.6
Jiangxisaurus ganzhouensis,72.1,66
Yulong mini,70.6,66
Huanansaurus ganzhouensis,72.1,66
Rinchenia mongoliensis,72.1,66
Corythoraptor jacobsi,72.1,66
Wulatelong gobiensis,83.6,72.1
Tongtianlong limosus,72.1,66
Citipati osmolskae,83.6,72.1
Luoyanggia liudianensis,100.5,89.8
Ningyuansaurus wangi,129.4,113
Similicaudipteryx yixianensis,125,113
Xingtianosaurus ganqi,130,122.46
Caudipteryx zoui,130,122.46
Caudipteryx dongi,130,125.45
Incisivosaurus gauthieri,130,125.45
Avimimus portentosus,83.5,66
Avimimus nemegtensis,70.6,66
Beibeilong sinensis,100.5,89.8
Gigantoraptor erlianensis,83.5,70.6
Anomalipes zhaoi,83.6,72.1
Anzu wyliei,70.6,66
Apatoraptor pennatus,70.6,66
Hagryphus giganteus,83.5,70.6
Citipes elegans,83.5,66
Epichirostenotes curriei,83.5,70.6
Elmisaurus rarus,72.1,66
Caenagnathasia martinsoni,93.5,89.3
Caenagnathus collinsi,83.5,70.6
Ojoraptorsaurus boerei,70.6,66
Microvenator celer,125,93.5
Microvenator chagyabi,,
Chirostenotes pergracilis,83.5,70.6
Leptorhynchos gaddisi,83.5,70.6
Leptorhynchos elegans,83.5,70.6
Ostromia crassipes,,
Eosinopteryx brevipenna,167.7,150.8
Overoraptor chimentoi,99.6,89.3
Paronychodon asiaticus,99.6,89.3
Zhongornis haoae,125.45,122.46
Gobivenator mongoliensis,83.6,72.1
Sinusonasus magnodens,130,125.45
Anchiornis huxleyi,167.7,150.8
Jinfengopteryx elegans,129.4,125
Tamarro insperatus,70.6,66
Liaoningvenator curriei,125.45,122.46
Philovenator curriei,83.6,72.1
Almas ukhaa,83.6,72.1
Archaeornithoides deinosauriscus,83.5,70.6
Xixiasaurus henanensis,89.8,72.1
Geminiraptor suarezarum,139.8,132.9
Tochisaurus nemegtensis,72.1,66
Hesperornithoides miessleri,157.3,145
Daliansaurus liaoningensis,125.45,122.46
Pectinodon bakkeri,70.6,66
Papiliovenator neimengguensis,83.6,72.1
Sinovenator changii,130,122.46
Jianianhualong tengi,130,125.45
Mei long,130,125.45
Xiaotingia zhengi,167.7,150.8
Urbacodon itemirensis,100.5,93.9
Talos sampsoni,83.5,70.6
Latenivenatrix mcmasterae,83.5,70.6
Sinornithoides youngi,139.8,100.5
Saurornithoides mongoliensis,83.6,66
Borogovia gracilicrus,72.1,66
Byronosaurus jaffei,83.6,72.1
Troodon formosus,83.6,66
Zanabazar junior,72.1,66
Linhevenator tani,83.6,72.1
Stenonychosaurus inequalis,83.5,66
Pamparaptor micros,93.5,85.8
Saurornitholestes sullivani,83.5,70.6
Saurornitholestes langstoni,83.5,66
Saurornitholestes robustus,83.5,70.6
Atrociraptor marshalli,83.5,66
Dromaeosaurus explanatus,99.6,93.5
Dromaeosaurus albertensis,109,66
Boreonykus certekorum,83.5,70.6
Zapsalis abradens,,
Itemirus medullaris,93.5,89.3
Yurgovuchia doellingi,145,132.9
Dakotaraptor steini,70.6,66
Utahraptor ostrommaysi,139.8,132.9
Kansaignathus sogdianus,85.8,83.5
Acheroraptor temertyorum,70.6,66
Tsaagan mangas,83.5,70.6
Dineobellator notohesperus,70.6,66
Velociraptor mongoliensis,100.5,66
Velociraptor osmolskae,83.6,72.1
Linheraptor exquisitus,83.6,72.1
Achillobator giganticus,100.5,83.6
Adasaurus mongoliensis,72.1,66
Vectiraptor greeni,129.4,125
Halszkaraptor escuilliei,83.6,72.1
Mahakala omnogovae,83.5,70.6
Hulsanpes perlei,83.5,70.6
Balaur bondoc,70.6,66
Richardoestesia gilmorei,155.7,66
Richardoestesia isosceles,99.6,66
Richardoestesia asiatica,99.6,89.3
Asiamericana asiatica,93.5,89.3
Shri devi,83.5,70.6
Variraptor mechinorum,83.5,66
Austroraptor cabazai,83.5,66
Ypupiara lopai,70.6,66
Unenlagia paynemili,93.5,85.8
Unenlagia comahuensis,93.5,85.8
Neuquenraptor argentinus,93.5,85.8
Buitreraptor gonzalezorum,99.6,93.5
Rahonavis ostromi,72.1,66
Imperobator antarcticus,70.6,66
Zhenyuanlong suni,129.4,113
Nuthetes destructor,145,140.2
Kuru kulla,83.5,70.6
Bambiraptor feinbergi,83.6,72.1
Dromaeosauroides bornholmensis,145,140.2
Wulong bohaiensis,125,113
Shanag ashile,145,100.5
Changyuraptor yangi,130,122.46
Microraptor gui,125,113
Microraptor hanqingi,125,113
Microraptor zhaoianus,125.45,113
Graciliraptor lujiatunensis,130,125.45
Zhongjianosaurus yangi,125,113
Sinornithosaurus millenii,130,122.46
Hesperonychus elizabethae,83.5,70.6
Luanchuanraptor henanensis,70.6,66
Tianyuraptor ostromi,129.4,125
Deinonychus antirrhopus,125,93.5
Pyroraptor olympius,83.5,66
Epidexipteryx hui,164.7,161.2
Epidendrosaurus ningchengensis,164.7,161.2
Pedopenna daohugouensis,164.7,161.2
Caihong juji,163.5,157.3
Pneumatoraptor fodori,86.3,83.6
Serikornis sungei,163.5,157.3
Yixianosaurus longimanus,130,122.46
Yi qi,166.1,157.3
Scansoriopteryx heilmanni,129.4,125
Ambopteryx longibrachium,163.5,145
Aurornis xui,167.7,150.8
Archaeopteryx lithographica,150.8,145
Archaeopteryx albersdoerferi,150.8,145
Jurapteryx recurva,150.8,145
Kompsornis longicaudus,125,113
Fukuipteryx prima,125,113
Dalianraptor cuhe,125,113
Alcmonavis poeschli,150.8,145
Ornithomimipus yuanmuensis,,
Tugulusaurus faciles,122.46,100.5
Erlikosaurus andrewsi,100.5,83.6
Lingyuanosaurus sihedangensis,125,113
Jianchangosaurus yixianensis,125.45,122.46
Saurexallopus zerbsti,70.6,66
Martharaptor greenriverensis,139.8,132.9
Therizinosaurus cheloniformis,72.1,66
Erliansaurus bellamanus,83.5,70.6
Eshanosaurus deguchiianus,201.3,199.3
Paralitherizinosaurus japonicus,83.5,70.6
Nothronychus graffami,93.5,89.3
Nothronychus mckinleyi,93.5,89.3
Neimongosaurus yangi,83.5,70.6
Suzhousaurus megatherioides,125,109
Segnosaurus galbinensis,100.5,83.6
Tiantaisaurus sifengensis,105.3,99.6
Enigmosaurus mongoliensis,100.5,83.6
Nanshiungosaurus bohlini,112.03,109
Nanshiungosaurus brevispinus,72.1,66
Beipiaosaurus inexpectus,130,122.46
Alxasaurus elesitaiensis,125,113
Falcarius utahensis,145,132.9
Fukuivenator paradoxus,125,113
Garudimimus brevipes,100.5,83.6
Paraxenisaurus normalensis,83.5,70.6
Afromimus tenerensis,113,100.5
Lepidocheirosaurus natatilis,167.7,145
Beishanlong grandis,125,113
Deinocheirus mirificus,72.1,66
Shenzhousaurus orientalis,130,122.46
Kinnareemimus khonkaenensis,130,125.45
Harpymimus okladnikovi,109,99.6
Pelecanimimus polyodon,130,125.45
Nqwebasaurus thwazi,145,132.9
Arkansaurus fridayi,113,100.5
Hexing qingyi,130,122.46
Sinornithomimus dongi,93.9,89.8
Rativates evadens,83.5,70.6
Struthiomimus altus,83.6,70.6
Aepyornithomimus tugrikinensis,83.5,70.6
Qiupalong henanensis,70.6,66
Tototlmimus packardensis,83.6,72.1
Ornithomimus tenuis,83.5,70.6
Ornithomimus minutus,70.6,66
Ornithomimus velox,70.6,66
Ornithomimus edmontonicus,83.5,66
Dromiceiomimus brevitertius,70.6,66
Archaeornithomimus asiaticus,89.8,70.6
Archaeornithomimus bissektensis,93.5,89.3
Anserimimus planinychus,72.1,66
Gallimimus bullatus,72.1,66
Sinocalliopteryx gigas,129.4,122.46
Compsognathus longipes,157.3,145
Mirischia asymmetrica,122.46,112.03
Aniksosaurus darwini,100.5,89.8
Xunmenglong yingliangis,132.9,129.4
Beipiaognathus jii,130,122.46
Huaxiagnathus orientalis,130,122.46
Scipionyx samniticus,112.03,109
Ornitholestes hermanni,157.3,145
Aristosuchus pusillus,129.4,122.46
Ngexisaurus dapukaensis,174.1,163.5
Neotripodiscus makoetlani,,
Bicentenaria argentina,99.6,93.5
Vectaerovenator inopinatus,122.46,112.03
Pandoravenator fernandezorum,161.2,152.1
Notatesseraeraptor frickensis,228,208.5
Daemonosaurus chauliodus,208.5,201.3
Fuscinapedis woodbinensis,99.6,93.5
Tawa hallae,228,208.5
Ovoraptor djadochtari,83.5,70.6
Alwalkeria maleriensis,237,228
Thecospondylus horneri,145,132.9
Nhandumirim waldsangae,228,208.5
Nyasasaurus cromptoni,,
Nyasasaurus parringtoni,247.2,242